ID,Original_ID,Input_rho_s,Input_rho_l,Input_cp_s,Input_cl_l,Input_k_s,Input_k_l,Input_Lf,Input_wt,Input_Tm,Input_dT,Output_Tout,Output_LiquidFrac,Time_Cost_s,TimeSeries_File,Original_TimeSeries_File,Status,Output_TotalEnergy_MJ
1,1,867.5566844381267,784.9562347433182,2039.9875457723683,2164.367375384045,0.2493428482905064,0.1478801158441066,183.4925754125296,0.1698488172169192,20.086463373708256,5.635056882065854,34.226711763002186,0.9972688898578604,57.860092639923096,ts_0001.npz,ts_0001_20260211_140151.npz,Success,327.63582704074156
2,2,918.2938103252116,845.5185486043009,2386.2222950662785,2467.55136638506,0.2087619233101419,0.1402509473097113,234.88531736448928,0.1688617550458349,20.33349981074195,3.673429065494946,34.06782602041994,0.9648342888683062,62.36306142807007,ts_0002.npz,ts_0002_20260211_140249.npz,Success,371.45447142129217
3,3,809.9911211918551,787.3424952268372,2138.0472441144902,2371.503468384914,0.2119409456435026,0.1520223007937388,244.1527813104243,0.2081998819774942,22.03344219489999,4.381941787367477,33.8632615741854,0.6826391206849761,61.02124381065369,ts_0003.npz,ts_0003_20260211_140351.npz,Success,426.90122967502305
4,4,865.5123614204299,797.8015985313584,2287.7134056518107,2309.941696173344,0.2454078933156626,0.1421459211829187,179.47279941464768,0.1512280246845259,23.806107354181563,6.604220474633111,34.01867502697246,0.7278017095364585,61.11202907562256,ts_0004.npz,ts_0004_20260211_140452.npz,Success,375.0905566573409
5,5,861.8665633242907,846.3661015030104,1988.110365879472,2024.542363855198,0.245877123059121,0.1580045636889943,192.56389329971933,0.1466165357814942,21.158243635314363,3.9411279572203504,34.06869730829084,0.9809126329698048,62.12847447395325,ts_0005.npz,ts_0005_20260211_140553.npz,Success,379.5579567379046
6,6,917.85564343009,767.9898160833219,2188.399192009017,2329.6632406445274,0.2196593666945416,0.1964522602252937,233.08640041385587,0.206706719704078,22.41799496087934,4.236851750241665,33.877434074090445,0.662958556612581,60.669410705566406,ts_0006.npz,ts_0006_20260211_140655.npz,Success,421.22843915889155
7,7,804.7553503878316,803.9876159733641,2299.463218935112,2515.7453877814746,0.2250180581580671,0.1738356782640722,209.6162580433502,0.140977992056961,20.720983982864308,5.415227695249763,34.13591905753907,0.9909018954288176,59.773232221603394,ts_0007.npz,ts_0007_20260211_140756.npz,Success,363.0862523942918
8,8,861.3606319100581,822.0891281121367,1894.4099478456017,2451.1509998104543,0.2041082295517442,0.1977961854368158,195.2691442661719,0.16506324459572,24.029867043719857,6.75058039089605,33.989751909598226,0.6568447807111536,61.79699563980103,ts_0008.npz,ts_0008_20260211_140856.npz,Success,381.114294655893
9,9,869.8446765582767,781.6677071588897,1860.0975235855904,2487.767048835964,0.2320006399558471,0.1638003055248692,170.85204288026415,0.1268749359822007,20.23253165982774,4.757941739441343,34.23332972308873,0.999305894818524,60.78875875473023,ts_0009.npz,ts_0009_20260211_140957.npz,Success,319.04579572758666
10,12,894.3182928545964,751.468520474291,2199.708792139079,2283.457705126923,0.2192160843410243,0.1843279788461306,166.9091056589815,0.1446106601981437,22.066524769513748,5.63239564430614,34.05976510325837,0.9360199469328196,118.72029519081116,ts_0010.npz,ts_0012_20260211_141516.npz,Success,376.5139054632139
